authorID,name
0,"John Bangs"
1,"Bird"
2,"Benson, Arthur Christopher"
3,"England, George Allan"
4,"John Ruskin"
5,"George Borrow"
6,Various
7,"Bell, J. J. (John Joy)"
8,"Charles Kingsley"
